PVTTABLE LABEL = "NONEQ TABSAT5", PHASE = TWO,\ 
COMPONENTS = ("CH4","C2H6","C3H8","iC4H10","nC4H10","iC5H12","nC5H12","nC6H14","nC7H16","nC8H18","nC9H20","nC10H22","nC11H24","nC12H26","nC14H30","N2","H2O","CO2","C15+"),\
STDPRESSURE = 14.444444444 ATM,\
STDTEMPERATURE = 288.71 K,\
MESHTYPE = STANDARD,\
PRESSURE = (120,142,164,186,208,230,252,274,296,318,340,362,384,406,428,450,472,494,516,538,560,582,604,626,648,670,692,714,736,758,780) Pa,\
TEMPERATURE = (40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130) C,\
BUBBLEPRESSURES = (4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994,2039.7920983821277,2123.974861795866,2209.4916568696017,2296.298537502116,2384.284490445495,2473.368105309933,2563.4609244102758,2654.4692117916907,2746.2954480745097,2838.839589057817,2932.014529266239,3025.7146346689665,3119.828431033457,3214.281941387784,3308.9473456083174,3403.747037298318,3498.5654624607077,3593.319535648168,3687.9026248879245,3782.2272277714105,3876.201206875353,3969.726156862065,4062.7326116171075,4155.122746859136,4246.816162093503,4337.73627236279,4427.808711803434,4516.961194271442,4605.12336446722,4692.226641476255,4778.2120605994) Pa,\
BUBBLETEMPERATURES= (40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130,40,43,46,49,52,55,58,61,64,67,70,73,76,79,82,85,88,91,94,97,100,103,106,109,112,115,118,121,124,127,130) C,\
COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (12000000.0,40.0,302.69137578512493,649.4451285584049,7.827906244324497e-07,7.797563925028939e-07,-0.41461566491585394,-0.420526529626023,0.9658003660223106,0.002717456407789053,0.0017943084001426522,8972.116402746226,3371.8175791818776,-196305.74998643808,-2213693.0331115015,0.04925067248992839,0.061314304786198114,4.5228943509145205,100.0,100.0)
PVTTABLE POINT = (12000000.0,43.0,289.3829567366386,650.7000592124423,8.036677459575915e-07,8.052949607013939e-07,-0.41881854955078296,-0.42815705901605844,0.9654017568732034,0.0026360982116634176,0.0018483561750817586,8241.007744823699,3293.3509071783756,-192807.2556500323,-2069591.3457988035,0.04790281999372015,0.062096199861916924,4.750542571385188,100.0,100.0)
